# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:Pu'
# Event count (approx.): 1742404726
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                           
# ........  ...............  ....................  .................................................................................................................................................................................................................................................................................................................................
#
    17.49%  spgemm_cpu_exec  libc.so.6             [.] __GI___printf_fp_l
    10.27%  spgemm_cpu_exec  libmkl_def.so.2       [.] mkl_sparse_s_csr__g_n_spmm_notr_row_i4_def
     5.71%  spgemm_cpu_exec  libmkl_def.so.2       [.] mkl_sparse_s_csr__g_n_spmm_notr_row_struct_i4_def
     5.24%  spgemm_cpu_exec  libc.so.6             [.] hack_digit
     4.16%  spgemm_cpu_exec  libc.so.6             [.] __vfprintf_internal
     3.51%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_float(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, std::string&) const
     3.33%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     3.08%  spgemm_cpu_exec  libc.so.6             [.] __mpn_divrem
     2.63%  spgemm_cpu_exec  libc.so.6             [.] __mpn_mul_1
     2.48%  spgemm_cpu_exec  libc.so.6             [.] __GI_____strtof_l_internal
     2.02%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double) const
     1.72%  spgemm_cpu_exec  libc.so.6             [.] __mpn_cmp
     1.62%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)
     1.62%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::istreambuf_iterator<char, std::char_traits<char> > std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<long>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, long&) const
     1.52%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)
     1.25%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::ostream& std::ostream::_M_insert<double>(double)
     1.19%  spgemm_cpu_exec  libc.so.6             [.] __memmove_avx_unaligned_erms
     1.17%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::ostream& std::ostream::_M_insert<long>(long)
     1.13%  spgemm_cpu_exec  libc.so.6             [.] _IO_str_init_static_internal
     1.10%  spgemm_cpu_exec  libstdc++.so.6.0.30   [.] std::codecvt<char, char, __mbstate_t>::do_always_noconv() const
