MatrixName,Implementation, Node, Cores, Memory, ExecutionTime_s,Rows_A,Cols_A,NNZ_A
atmosmodd, 1, 05, 16, 32, 0.71867, 1270432, 1270432, 8814880
G3_circuit, 1, 05, 16, 32, 0.49264, 1585478, 1585478, 7660826
stokes, 1, 05, 16, 32, 138.391, 11449533, 11449533, 349321980
webbase-1M, 1, 05, 16, 32, 4.97302, 1000005, 1000005, 3105536
bcsstk36, 1, 05, 16, 32, 0.211443, 23052, 23052, 1143140
soc-Pokec, 1, 05, 16, 32, 86.8195, 1632803, 1632803, 30622564
wiki-Vote, 1, 05, 16, 32, 0.0846323, 8297, 8297, 103689
com-Amazon, 1, 05, 16, 32, 0.370317, 334863, 334863, 1851744
email-Enron, 1, 05, 16, 32, 2.5021, 36692, 36692, 367662
roadNet-CA, 1, 05, 16, 32, 0.312717, 1971281, 1971281, 5533214
