MatrixName,Implementation, Node, Cores, Memory, ExecutionTime_s,Rows_A,Cols_A,NNZ_A,GFLOPS
atmosmodd, 1, 05, 16, 32, 0.637546, 1270432, 1270432, 8814880, 0.097922998
G3_circuit, 1, 05, 16, 32, 0.433085, 1585478, 1585478, 7660826, 0.098212286
stokes, 1, 05, 16, 32, 126.142, 11449533, 11449533, 349321980, 0.033535965
webbase-1M, 1, 05, 16, 32, 4.87578, 1000005, 1000005, 3105536, 0.020965669
bcsstk36, 1, 05, 16, 32, 0.199265, 23052, 23052, 1143140, 0.036482754
soc-Pokec, 1, 05, 16, 32, 84.5508, 1632803, 1632803, 30622564, 0.032167806
wiki-Vote, 1, 05, 16, 32, 0.0790599, 8297, 8297, 103689, 0.046322143
com-Amazon, 1, 05, 16, 32, 0.334367, 334863, 334863, 1851744, 0.082422207
email-Enron, 1, 05, 16, 32, 2.40437, 36692, 36692, 367662, 0.025363945
roadNet-CA, 1, 05, 16, 32, 0.27225, 1971281, 1971281, 5533214, 0.094827916
